id,sigungu,jibun,apt_name,exclusive_use_area,transaction_year_month,transaction_day,transaction_real_price,floor,year_of_completion,train_test,transaction_date,소비심리지수,아파트 매매 실거래 가격 지수,기준금리,GDP 성장률,apartment_id,recent_price,recent_jeonse,transaction_cnt,age,year,cluster_0.0,cluster_1.0,cluster_2.0,cluster_3.0,cluster_4.0,use_area,transaction_year
TRAIN_0320,서울특별시 강남구 대치동,670,동부센트레빌,1.548707581108652,201401,2,180000.0,1.0769074104935863,2005,train,2014-01-02,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,20,0.34102958976049297,0.6027059148991533,0.6567148854294557,-1.2133125713540693,2014,0,0,0,1,0,145.83,-1.3864529453875707
TRAIN_0699,서울특별시 강남구 대치동,986-14,하이캐슬,-0.37377936205318035,201401,2,68000.0,-0.5373218808098267,2008,train,2014-01-02,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,58,-1.1283186506080485,-1.028157948190225,-1.3624281452680935,-1.4526875554401388,2014,0,1,0,0,0,84.06,-1.3864529453875707
TRAIN_0705,서울특별시 강남구 대치동,511,한보미도맨션1,2.032052606643754,201401,4,155000.0,-0.5373218808098267,1983,train,2014-01-04,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,60,0.013050071821086391,0.35218701186127954,0.6258401122523316,0.5421039786104397,2014,0,0,0,1,0,161.36,-1.3864529453875707
TRAIN_0660,서울특별시 강남구 대치동,891-6,테헤란로대우아이빌(891-6),-1.9595120762201763,201401,4,27000.0,1.4044315925632562,2004,train,2014-01-04,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,49,-1.6662050600286753,-2.5755843651104193,-0.37624586077387573,-1.1335209099920462,2014,1,0,0,0,0,33.11,-1.3864529453875707
TRAIN_0102,서울특별시 강남구 대치동,891-28,대치동우정에쉐르1,-1.1232286997792111,201401,4,37400.0,-0.298391911210788,2004,train,2014-01-04,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,6,-1.5297655805658823,-2.029722078412606,-0.6411187595781264,-1.1335209099920462,2014,1,0,0,0,0,59.98,-1.3864529453875707
TRAIN_0110,서울특별시 강남구 대치동,1014-3,대치삼성,0.039849446019034826,201401,4,100000.0,0.6611044686355907,2000,train,2014-01-04,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,9,-0.7085048676456082,-0.38204325215521595,0.4501802127028552,-0.8143542645439537,2014,0,1,0,0,0,97.35,-1.3864529453875707
TRAIN_0311,서울특별시 강남구 대치동,988-4,대치효성,-0.34732454739092444,201401,4,72600.0,0.0911396093523745,1999,train,2014-01-04,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,17,-1.1283186506080485,-1.028157948190225,-0.6411187595781264,-0.7345626031819306,2014,0,1,0,0,0,84.91,-1.3864529453875707
TRAIN_0529,서울특별시 강남구 대치동,316,은마,-0.362263736847257,201401,5,89000.0,-1.611683894421669,1979,train,2014-01-05,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,46,-1.0679704193071977,-0.9155610441190224,1.3280261492668266,0.8612706240585322,2014,0,0,1,0,0,84.43,-1.3864529453875707
TRAIN_0744,서울특별시 강남구 대치동,511,한보미도맨션2,2.9380522005476055,201401,6,190000.0,-2.2401453845838692,1985,train,2014-01-06,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,61,0.47222139693625564,0.6932878602475535,0.16940362536661527,0.3825206558863934,2014,0,0,0,1,0,190.47,-1.3864529453875707
TRAIN_0321,서울특별시 강남구 대치동,670,동부센트레빌,2.035476170894163,201401,6,230000.0,-0.298391911210788,2005,train,2014-01-06,-0.7469117602656558,-1.4473130968465988,1.7263297122640262,0.3739284018181305,20,0.013050071821086391,0.35218701186127954,0.6567148854294557,-1.2133125713540693,2014,0,0,0,1,0,161.47,-1.3864529453875707
